id,date,name,done,description
93,2023-09-10,nitro,1,
94,2023-09-10,pjskmaster 拿到fullcombo,0,
46,2023-09-17,直播玩螃蟹遊戲,1,
57,2023-09-17,直播遊玩鬥陣特攻2直到上升通行證等級20級（超過十級可累積）,1,
90,2023-09-17,display entity 做惡靈玩偶,0,
92,2023-09-17,Hypixel觀眾場2小時,1,
4,2023-09-24,加班台2小時,1,
42,2023-09-24,直播不能講到d開頭的字 五次懲罰加一 加到懲罰就解禁,1,
48,2023-09-24,直播玩LOL隨機單中直到擊殺+助攻50以上,0,
88,2023-09-24,讓ChatGPT同時給小學數學、科學、文學、歷史、地理 各一題選擇題 2分鐘內沒解出來懲罰+1,1,
59,2023-10-01,直播遊玩踩地雷高級版直到破關,1,
84,2023-10-01,錄下自己打呼的聲音 沒有聲音或太小懲罰+1,1,
30,2023-10-08,玩Escape the backrooms👻,0,
34,2023-10-08,玩party animals,0,
49,2023-10-08,直播玩project playtime,0,
52,2023-10-08,直播唱軌跡,1,
54,2023-10-08,直播教大家怎麼用Premiere,1,
58,2023-10-08,直播遊玩德州電鋸殺人狂擊殺10人or逃出5場,0,
60,2023-10-08,直播遊玩黎明死線倖存者或殺手，直到熒虹徽章20個 (⚔️ 已完成 **4** /20個),3,
67,2023-10-08,破Joyville第一章👻,0,
83,2023-10-08,監控圍城新增一張地圖，主題由觀眾決定,0,
2,2023-10-22,加班台+2小時,1,
1,2023-11-05,水平射30格外的標靶10支箭 沒中紅心-中紅心=加的懲罰,1,
9,2023-11-05,把Outlast 2剩下的部分玩完👻,1,
11,2023-11-05,每隔10分鐘說一次 瑪卡巴卡,1,
13,2023-11-05,泡一碗很辣的泡麵邊吃邊玩,1,
23,2023-11-05,玩心跳水立方,1,
38,2023-11-05,玩PVZ,0,
51,2023-11-05,直播唱完一首哈哈歌,1,
81,2023-11-05,開建築大賽觀眾場,1,
82,2023-11-05,跟觀眾打桌遊兩小時,1,
85,2023-11-05,懲罰五色選一個 電繪一個以那個色為主題的惡靈,1,
31,2023-11-19,玩Hypixel陰屍路5場成功逃出,1,
43,2023-11-19,直播同樂MC Bingo 2小時,0,
20,2023-11-26,玩一次恐怖遊戲時 死幾次下一次直播就要喵幾次,1,
37,2023-11-26,玩Poppy Playtime 第三章 👻,1,
47,2023-11-26,直播玩Do Not Feed the Monkeys 2099 單局解完三個籠子,0,
53,2023-11-26,直播唱聽我說謝謝你,1,
56,2023-11-26,直播遊玩 完蛋！我被美女包圍了 破關,0,
61,2023-11-26,直播遊玩Bloons TD 6,0,
87,2023-11-26,釋出監控圍城2,0,
45,2023-12-17,直播玩大富翁10勝利,0,
50,2023-12-24,直播唱何日君再來,0
89,2023-12-24,DC overcook 破紀錄,0,
98,2023-12-24,valorant五連殺或四連殺一次(或三連殺三次),0,
22,2024-01-06,玩八號出口,1,
25,2024-01-06,玩深夜放送,0,
99,2024-02-04,出影片介紹指令的macros,0,
100,2024-04-14,唱HEYYEYAAEYAAAEYAEYAA,1,
101,2024-04-14,玩Box: the game,0,
102,2024-05-05,唱《水龍吟》,0,
103,2024-05-05,通關At Dead of Night,0,
